title,city,price,link
Пудель той,"Краснодарский край, Краснодар",Цена не указана,https://www.avito.ru//krasnodar/sobaki/pudel_toy_1660883079
Ищу пуделя той суку родословная Обмен на антиквари,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/ischu_pudelya_toy_suku_rodoslovnaya_obmen_na_antikvari_1938396310
Для вязок шикарный той пудель,Санкт-Петербург,Цена не указана,https://www.avito.ru//sankt-peterburg/sobaki/dlya_vyazok_shikarnyy_toy_pudel_1820319755
Пудель,"Ростовская область, Ростов-на-Дону",Цена не указана,https://www.avito.ru//rostov-na-donu/sobaki/pudel_1932618580
Пудель,"Ставропольский край, Ставрополь",Цена не указана,https://www.avito.ru//stavropol/sobaki/pudel_1928191201
Пудель,"Тульская область, муниципальное образование Новомосковск, д. Малое Колодезное",4 500  ₽,https://www.avito.ru//novomoskovsk/sobaki/pudel_1936604807
Пудель,"Нижегородская область, Нижний Новгород",67 000  ₽,https://www.avito.ru//nizhniy_novgorod/sobaki/pudel_1939429093
Той-пудельки,Москва,55  ₽,https://www.avito.ru//moskva/sobaki/toy-pudelki_1896018774
Арлекин той пудель (тикап) в обеспеченну семью,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/arlekin_toy_pudel_tikap_v_obespechennu_semyu_1823891146
Пудель той чёрный,Москва,80 000  ₽,https://www.avito.ru//moskva/sobaki/pudel_toy_chernyy_1302830889
Случка мальчик той-пудель,"Астраханская область, Астрахань",2 000  ₽,https://www.avito.ru//astrahan/sobaki/sluchka_malchik_toy-pudel_1529959586
Пудель,"Саратовская область, Саратов",25 000  ₽,https://www.avito.ru//saratov/sobaki/pudel_1927794139
Пудель,"Московская область, Балашиха",Цена не указана,https://www.avito.ru//moskovskaya_oblast_zheleznodorozhnyy/sobaki/pudel_1913766293
Пудель,"Республика Башкортостан, Уфимский р-н, Чесноковский сельсовет, с. Чесноковка",Цена не указана,https://www.avito.ru//ufa/sobaki/pudel_1501787680
Карликовый пудель,"Кемеровская область, Беловский г.о., Белово",30 000  ₽,https://www.avito.ru//belovo/sobaki/karlikovyy_pudel_1927711450
Пудель,"Смоленская область, Вяземский р-н, Вязьма",Цена не указана,https://www.avito.ru//vyazma/sobaki/pudel_1915659726
Пудель,"Хабаровский край, Хабаровск",Бесплатно,https://www.avito.ru//habarovsk/sobaki/pudel_1947125576
Пудель щенки,"Свердловская область, Екатеринбург",30 000  ₽,https://www.avito.ru//ekaterinburg/sobaki/pudel_schenki_1921844286
Пудель,Санкт-Петербург,Цена не указана,https://www.avito.ru//sankt-peterburg/sobaki/pudel_1901582667
Пудель Персик Щенок,"Воронежская область, Воронеж",Цена не указана,https://www.avito.ru//voronezh/sobaki/pudel_persik_schenok_1860479275
Пудель,"Алтайский край, Бийск",Цена не указана,https://www.avito.ru//biysk/sobaki/pudel_1825347461
Пудель,"Республика Башкортостан, Абзелиловский р-н, д. Зелёная Поляна",Цена не указана,https://www.avito.ru//magnitogorsk/sobaki/pudel_1837125982
Собака,"Московская область, г.о. Люберцы, рабочий пос. Малаховка",100  ₽,https://www.avito.ru//malahovka/sobaki/sobaka_1918395103
"Девочка 4,5мес ярко красная мини",Москва,80 000  ₽,https://www.avito.ru//moskva/sobaki/devochka_45mes_yarko_krasnaya_mini_1257818920
Пудели,"Калужская область, Обнинск",Цена не указана,https://www.avito.ru//moskva/sobaki/pudeli_735180650
Пудель,"Новосибирская область, Новосибирск",35 000  ₽,https://www.avito.ru//novosibirsk/sobaki/pudel_1907516862
Карликовый пудель,"Саратовская область, Саратовский р-н, с. Шевырёвка",20  ₽,https://www.avito.ru//saratov/sobaki/karlikovyy_pudel_1927590461
Очаровательные миниатюрные и той-пудели,"Московская область, Домодедово",80 000  ₽,https://www.avito.ru//domodedovo/sobaki/ocharovatelnye_miniatyurnye_i_toy-pudeli_1705333393
Карликовый пудель,"Челябинская область, Магнитогорск",3  ₽,https://www.avito.ru//magnitogorsk/sobaki/karlikovyy_pudel_1302610148
Пудель,"Томская область, Томск",40 000  ₽,https://www.avito.ru//tomsk/sobaki/pudel_1920376242
Собака,"Республика Бурятия, Улан-Удэ, садоводческое некоммерческое товарищество Сибиряк",7 500  ₽,https://www.avito.ru//ulan-ude/sobaki/sobaka_1927299757
Миниатюрный Пудель,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/miniatyurnyy_pudel_1900671700
Собака,"Краснодарский край, Сочи",Цена не указана,https://www.avito.ru//sochi/sobaki/sobaka_1931971594
Ищу девочку пуделя,"Иркутская область, Иркутск",Цена не указана,https://www.avito.ru//irkutsk/sobaki/ischu_devochku_pudelya_1949212786
Собака,"Красноярский край, Красноярск",1  ₽,https://www.avito.ru//krasnoyarsk/sobaki/sobaka_1945027642
Малыши тойчики,"Самарская область, Тольятти",Цена не указана,https://www.avito.ru//tolyatti/sobaki/malyshi_toychiki_644216509
Собака,"Московская область, г.о. Ступино, пос. Вельяминово",Цена не указана,https://www.avito.ru//ilinskoe/sobaki/sobaka_1926634341
